category,assumptions,t0,t1,0,1
2.0,\left( \left( \left( \left( A = \left( \begin{array}{cc}5.220571263867631& -4.37455011176115\\2.7945486178822163& 1.8419307657809698\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}3.1319319100993344& 0.4702831009227104\\3.4513188904189747& 2.9339243516781472\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-0.8863818611347005& 0.18918549910025817\\0.13463270465168264& 2.983676004458962\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.7949296023052367& -0.8264311775688084\\0.03581980788164843& -0.5612370682332023\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"(B^{T} + 4\,X)\,A^{T} = C^{T}","B^{T}\,A^{T} + 4\,A^{T}\,X = C^{T}",,
2.0,\left( g < 1.8267132048600137\right) \wedge \left( g > -2.1732867951399863\right),"1-2\,e^{4\,g} = 0","g = -\frac{1}{4}\,\ln{\left(2\right)}",,
2.0,"\left( a_ = \left( \begin{array}{c}5\,a + 5\\5\,a-2\\2\,a-1\end{array} \right)\right) \wedge \left( b_ = \left( \begin{array}{c}5\\-4\\-3\end{array} \right)\right)","\left( \begin{array}{c}5\,a + 5\\5\,a-2\\2\,a-1\end{array} \right)\,\left( \begin{array}{c}5\\-4\\-3\end{array} \right) = -4","5\,(5\,a + 5) + (-4)\,(4\,a-2) + (-3)\,(2\,a-1) = -4",,
2.0,\left( A > 0\right) \wedge \left( x_0 < x_1\right),"y = A\,\sin{\left(\omega\,x + \varphi\right)}","\frac{y}{A} = \sin{\left(w\,x + \varphi\right)}",,
2.0,\left( A > 0\right) \wedge \left( x_0 < x_1\right),"\frac{y}{A} = \sin{\left(\omega\,x + \varphi\right)}","\left( \arcsin{\left(\frac{y}{A}\right)} = \omega\,x + \varphi\right) \vee \left( \pi-\arcsin{\left(\frac{y}{A}\right)} = \omega\,x + \varphi\right)",,
2.0,\left( A > 0\right) \wedge \left( x_0 < x_1\right),"\left( \arcsin{\left(\frac{y}{A}\right)} = \omega\,x + \varphi\right) \vee \left( \pi-\arcsin{\left(\frac{y}{A}\right)} = \omega\,x + \varphi\right)","\arcsin{\left(\frac{y}{A}\right)}-\varphi = \omega\,x",,
2.0,\left( \left( \left( A = \left( \begin{array}{cc}0.3547345834935971& 5.3042937833714205\\-1.9526977414608173& 4.767152633214353\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}5.095158187674793& -0.41868591884134343\\3.7076188276689006& 2.687191825346533\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.836729973032469& -1.0626290163258947\\-0.7933959354018976& 3.7449450725187017\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}1.8792593310946417& -0.720440244770851\\-0.17439955788924327& -0.07321955441858734\end{array} \right)\right),"A\,X + B = C","A\,X = B-C",,
2.0,\left( \left( \left( A = \left( \begin{array}{cc}0.3547345834935971& 5.3042937833714205\\-1.9526977414608173& 4.767152633214353\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}5.095158187674793& -0.41868591884134343\\3.7076188276689006& 2.687191825346533\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}4.836729973032469& -1.0626290163258947\\-0.7933959354018976& 3.7449450725187017\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}1.8792593310946417& -0.720440244770851\\-0.17439955788924327& -0.07321955441858734\end{array} \right)\right),"A\,X = B-C","X = A^{-1}\,(B-C)",,
2.0,\left( A > 0\right) \wedge \left( x_0 < x_1\right),"\frac{y}{A} = \sin{\left(\omega\,x + \varphi\right)}","1 = \omega\,x + \varphi",,
2.0,\left( A > 0\right) \wedge \left( x_0 < x_1\right),"1 = \omega\,x + \varphi","\arcsin{\left(\frac{y}{A}\right)}-\varphi = \omega\,x",,
2.0,\textrm{wahr},"\tan{\left(4\,x + 3\right)} = -\frac{1}{3}","4\,x + 3 = -\frac{1}{12}",,
2.0,\textrm{wahr},"\tan{\left(4\,x + 3\right)} = -\frac{1}{3}","4\,x + 3 = \arctan{\left(-\frac{1}{12}\right)}",,
2.0,\textrm{wahr},"\tan{\left(4\,x + 3\right)} = -\frac{1}{3}","4\,x + 3 = \arctan{\left(-\frac{1}{3}\right)}",,
2.0,\left( p < 2.0770163533955497\right) \wedge \left( p > -1.9229836466044505\right),"e^{-9\,p} = \frac{1}{2}","\ln{\left(\frac{1}{2}\right)} = -9\,p",,
2.0,\textrm{wahr},"2\,x-4 = \frac{\pi}{4} + k\,\pi",x = 2 + \frac{\pi}{8} + \frac{\pi}{2},,
2.0,\textrm{wahr},"\left( 11\,e^{d}-10\right)^{2} = 0","11\,e^{d^{2}}-100 = 0",,
2.0,\textrm{wahr},"11\,e^{d^{2}} = 100","\ln{\left(11\right)}\,d^{2} = \ln{\left(100\right)}",,
2.0,\textrm{wahr},"\ln{\left(11\right)}\,d^{2} = \ln{\left(100\right)}",d = \sqrt{\frac{\ln{\left(100\right)}}{\ln{\left(11\right)}}},,
2.0,\left( q < 1.9817678443206046\right) \wedge \left( q > -2.0182321556793954\right),"e^{10\,q} = \frac{1}{\frac{6}{5}}","10\,q = -\ln{\left(5\right)}",,
2.0,f > -\frac{3}{3},"-4\,\ln{\left(3 + 3\,f\right)}-4 = 5","\ln{\left(3 + 3\,f\right)} = 9",,
2.0,\textrm{wahr},"\left( 11\,e^{d}-10\right)^{2} = 0","11\,e^{d^{2}}-220\,e^{d} + 100 = 0",,
2.0,\textrm{wahr},"\left( 11\,e^{d}-10\right)^{2} = 0","121\,e^{d^{2}}-220\,e^{d} + 100 = 0",,
2.0,\textrm{wahr},"121\,e^{d^{2}}-220\,e^{d} + 100 = 0","e^{d^{2}}-20\,e^{d} + \frac{100}{11} = 0",,
2.0,l > -\frac{6}{2},"3\,\ln{\left(6 + 2\,l\right)}-2 = 5","e^{3} \cdot 6 + 2\,l-e^{2} = e^{5}",,
2.0,l > -\frac{6}{2},"3\,\ln{\left(6 + 2\,l\right)}-2 = 5","e^{3}\,(6 + 2\,l)-e^{2} = e^{5}",,
2.0,\textrm{wahr},"2\,x = 3\,\arctan{\left(-\frac{1}{4}\right)} + k\,\pi","x = \frac{3}{2}\,\arctan{\left(-\frac{1}{4}\right)} + k\,\pi",,
2.0,l > -\frac{6}{2},"3\,\ln{\left(6 + 2\,l\right)}-2 = 5","3 \cdot (6 + 2\,l)-e^{2} = e^{5}",,
2.0,l > -\frac{6}{2},"3\,\ln{\left(6 + 2\,l\right)}-2 = 5","3 \cdot (6 + 2\,l)-2 = 5",,
2.0,\textrm{wahr},"\left( -b + 1 = -1\right) \vee \left( -2\,b + 1 = -1\right)",-b + 1 = -1,,
2.0,\textrm{wahr},"\left( -b + 1 = -1\right) \vee \left( -2\,b + 1 = -1\right)",-b = -2,,
2.0,\textrm{wahr},"2\,x = -\arctan{\left(\frac{1}{4}\right)} + 3 + k\,\pi","x = \frac{\big(-\arctan{\left(\frac{1}{4}\right)} + 3 + k\,\pi,k\in \mathbb{Z}\big)}{2}",,
2.0,\textrm{wahr},"-3\,\tan{\left(2\,x-2\right)} = 1","2\,x-2 = \frac{\pi}{2} + k\,\pi",,
2.0,\textrm{wahr},"2\,x-2 = \frac{\pi}{2} + k\,\pi","x = 2 + \frac{\pi}{4} + k\,\frac{\pi}{2}",,
2.0,\textrm{wahr},"x = 2 + \frac{\pi}{4} + k\,\frac{\pi}{2}","\mathbb{L} = \left\{2 + \frac{\pi}{4} + k\,\frac{\pi}{2},k\in \mathbb{Z}\right\}",,
2.0,\textrm{wahr},"-3\,\tan{\left(2\,x-2\right)} = 1","2\,x-2 = \frac{\pi}{4} + k\,\pi",,
2.0,\textrm{wahr},"2\,x-2 = \frac{\pi}{4} + k\,\pi","x = 2 + \frac{\pi}{4} + k\,\frac{\pi}{2}",,
2.0,l > -\frac{6}{2},"3\,\ln{\left(6 + 2\,l\right)} = 7","6 + 2\,l = e^{\frac{7}{3}}",,
2.0,\textrm{wahr},"-4\,o-5 = 5\,o-2\,r","-9\,o-5 = 2\,r",,
2.0,\textrm{wahr},"-9\,o-5 = -2\,r","-9\,o = 2\,r + 5",,
2.0,\textrm{wahr},"\sin{\left(3\,x + 4\right)} = -1","3\,x + 4 = \arcsin{\left(-1\right)} + k\,\pi",,
2.0,\textrm{wahr},"\cos{\left(4\,x + 4\right)} = -1","4\,x + 4 = \arccos{\left(-1\right)} + k\,\pi",,
2.0,\textrm{wahr},"\cos{\left(4\,x + 4\right)} = -1","4\,x + 4 = \frac{\pi}{2} + k\,\pi",,
2.0,\left( w < 2.1351550360360547\right) \wedge \left( w > -1.8648449639639453\right),"\left( e^{3\,w} = 0\right) \vee \left( 2\,e^{3\,w}-3 = 0\right)","e^{3\,w} = 0",,
2.0,\left( w < 2.1351550360360547\right) \wedge \left( w > -1.8648449639639453\right),"e^{3\,w} = 0","w = \frac{1}{3}\,\ln{\left(\frac{3}{2}\right)}",,
2.0,\textrm{wahr},"\cos{\left(3\,x + 1\right)} = 0","3\,x + 1 = \frac{\pi}{2} + k \cdot 2\,\pi",,
2.0,"\left( a_ = \left( \begin{array}{c}-5\,a + 1\\-3\,a + 2\\-2\,a + 2\end{array} \right)\right) \wedge \left( b_ = \left( \begin{array}{c}-4\\-4\\2\end{array} \right)\right)","-4\,(-5\,a + 1)-4\,(-3\,a + 2) + 2\,(-2\,a + 2) = 3","-20\,a-4-12\,a-8-4\,a + 4 = 3",,
2.0,"\left( a_ = \left( \begin{array}{c}-5\,a + 1\\-3\,a + 2\\-2\,a + 2\end{array} \right)\right) \wedge \left( b_ = \left( \begin{array}{c}-4\\-4\\2\end{array} \right)\right)","20\,a-4 + 12\,a-8-4\,a + 4 = 3","-36\,a-8 = 3",,
2.0,"\left( a_ = \left( \begin{array}{c}-5\,a + 1\\-3\,a + 2\\-2\,a + 2\end{array} \right)\right) \wedge \left( b_ = \left( \begin{array}{c}-4\\-4\\2\end{array} \right)\right)","20\,a-4 + 12\,a-8-4\,a + 4 = 3","36\,a + 8 = 3",,
2.0,"\left( a_ = \left( \begin{array}{c}-5\,a + 1\\-3\,a + 2\\-2\,a + 2\end{array} \right)\right) \wedge \left( b_ = \left( \begin{array}{c}-4\\-4\\2\end{array} \right)\right)","36\,a + 8 = 3","-36\,a = 11",,
2.0,"\left( a_ = \left( \begin{array}{c}-5\,a + 1\\-3\,a + 2\\-2\,a + 2\end{array} \right)\right) \wedge \left( b_ = \left( \begin{array}{c}-4\\-4\\2\end{array} \right)\right)","28\,a-8 = 11",a = \frac{11}{28},,
2.0,\left( w < 2.1351550360360547\right) \wedge \left( w > -1.8648449639639453\right),"2\,e^{3\,w}-3 = 0","w = \frac{1}{3}\,\ln{\left(\frac{3}{2}\right)}",,
2.0,\left( w < 2.1351550360360547\right) \wedge \left( w > -1.8648449639639453\right),"e^{3\,w} = \frac{3}{2}","w = \frac{1}{3}\,\ln{\left(\frac{3}{2}\right)}",,
2.0,\textrm{wahr},"\cos{\left(3\,x + 1\right)} = 0","3\,x + 1 = \frac{\pi}{2} + 2\,\pi\,k",,
2.0,\left( \left( \left( \left( A = \left( \begin{array}{cc}5.220571263867631& -4.37455011176115\\2.7945486178822163& 1.8419307657809698\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}3.1319319100993344& 0.4702831009227104\\3.4513188904189747& 2.9339243516781472\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-0.8863818611347005& 0.18918549910025817\\0.13463270465168264& 2.983676004458962\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.7949296023052367& -0.8264311775688084\\0.03581980788164843& -0.5612370682332023\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"(B^{T} + 4\,X)\,A^{T} = C^{T}","B^{T} + 4\,X-C^{T} = A^{-T}",,
2.0,\left( \left( \left( \left( A = \left( \begin{array}{cc}5.220571263867631& -4.37455011176115\\2.7945486178822163& 1.8419307657809698\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}3.1319319100993344& 0.4702831009227104\\3.4513188904189747& 2.9339243516781472\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-0.8863818611347005& 0.18918549910025817\\0.13463270465168264& 2.983676004458962\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}-0.7949296023052367& -0.8264311775688084\\0.03581980788164843& -0.5612370682332023\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"B^{T} + 4\,X-C^{T} = A^{-T}","4\,A^{T}\,X = C^{T}-B^{T}\,A^{T}",,
2.0,\textrm{wahr},"3\,x = \frac{\pi}{2}-1 + k\,\pi","x = \frac{\frac{1}{3}\,\pi}{2}-1 + k\,\pi",,
2.0,\textrm{wahr},"3\,x = \frac{\pi}{2}-1 + k\,\pi","x = \frac{\frac{1}{3}\,\pi}{2}-1 + \frac{k\,\pi}{3}",,
2.0,\textrm{wahr},"\cos{\left(3\,x-1\right)} = 1","3\,x-1 = \arccos{\left(1\right)} + k\,\pi",,
2.0,\textrm{wahr},"\cos{\left(3\,x-1\right)} = 1","3\,x-1 = +k\,\pi",,
2.0,\textrm{wahr},"3\,x-4 = \frac{\pi}{2} + 2\,\pi\,k","x = \frac{\pi}{6} + \frac{2\,\pi}{3} + \frac{k}{3} + \frac{4}{3}\,k",,
2.0,\textrm{wahr},"3\,x-1 = \arccos{\left(1\right)} + k \cdot 2\,\pi","3\,x = \arccos{\left(1\right)} + 1 + k\,\pi",,
2.0,\textrm{wahr},"3\,x-4 = \frac{\pi}{2} + 2\,\pi\,k","x = \frac{\pi}{6} + \frac{2\,\pi}{3} + \frac{4}{3}\,k",,
2.0,"\left( a_ = \left( \begin{array}{c}-2\,a-2\\-5\,a-5\\3\,a + 3\end{array} \right)\right) \wedge \left( b_ = \left( \begin{array}{c}-3\\-3\\-3\end{array} \right)\right)","12\,a-12 = 4","-12\,a = 16",,
2.0,\textrm{wahr},"2\,x-2 = \arctan{\left(-\frac{1}{3}\right)} + k\,\pi","x = \arctan{\left(-\frac{1}{6}\right)} + k\,\frac{\pi}{2} + 1",,
2.0,\textrm{wahr},"2\,x-2 = \arctan{\left(-\frac{1}{3}\right)} + k\,\pi","x = \arctan{\left(-\frac{1}{3}\right)} + k\,\frac{\pi}{2} + 1",,
2.0,\left( \left( \left( \left( A = \left( \begin{array}{cc}4.577122424824395& 4.260758949057555\\-1.2464414250405826& -0.6074436891646844\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.9688788061576163& -2.246339254008724\\-4.349011573570468& 1.6514392435325638\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.044756338043341& 4.988285015931677\\-2.7543731189634517& -1.2605021809819954\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}0.04389004994116162& 0.1957488910705644\\-0.04566682546497272& -0.25798557640175634\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"A^{T}\,(B^{-T} + 2\,X) = C^{-T}","B^{-T} + 3\,X = A^{-T}\,C^{-T}",,
2.0,\left( \left( \left( \left( A = \left( \begin{array}{cc}4.577122424824395& 4.260758949057555\\-1.2464414250405826& -0.6074436891646844\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0.9688788061576163& -2.246339254008724\\-4.349011573570468& 1.6514392435325638\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}-4.044756338043341& 4.988285015931677\\-2.7543731189634517& -1.2605021809819954\end{array} \right)\right)\right) \wedge \left( X = \left( \begin{array}{cc}0.04389004994116162& 0.1957488910705644\\-0.04566682546497272& -0.25798557640175634\end{array} \right)\right)\right) \wedge \left( I = \left( \begin{array}{cc}1& 0\\0& 1\end{array} \right)\right),"3\,X = A^{-T}\,C^{-T}-B^{-T}","X = (A^{-T}\,C^{-T}-B^{-T})\,\frac{1}{3}",,
2.0,\textrm{wahr},"\cos{\left(2\,x-3\right)} = 0","2\,x-3 = \frac{1}{2}\,\pi + k \cdot 2\,\pi",,
2.0,w > -\frac{3}{2},"2\,\ln{\left(3 + 2\,w\right)}-6 = 5","\ln{\left(3 + 2\,w\right)}-6 = \frac{11}{2}",,
2.0,w > -\frac{3}{2},"\ln{\left(3 + 2\,w\right)}-6 = \frac{11}{2}","3 + 2\,w = e^{\frac{11}{2}}",,
2.0,w > -\frac{3}{2},"3 + 2\,w = e^{\frac{11}{2}}",w = \frac{e^{\frac{11}{2}}-3}{3},,
2.0,\textrm{wahr},"4\,x-4 = \arcsin{\left(0\right)} + k\,\pi","x = \frac{1}{4}\,\big(\arcsin{\left(0\right)} + k\,\pi + 4,k\in \mathbb{Z}\big)",,
2.0,\textrm{wahr},"\left( 2\,d-5 = 4\right) \vee \left( 2\,d + 3 = 2\right)","\left( 2\,d = -1\right) \vee \left( 2\,d = 5\right)",,
2.0,\textrm{wahr},"\left( 2\,d-5 = 4\right) \vee \left( 2\,d + 3 = 2\right)","\left( 2\,d = -1\right) \vee \left( 2\,d = -1\right)",,
2.0,\textrm{wahr},"\cos{\left(2\,x-1\right)} = -1","2\,x-1 = \arccos{\left(-1\right)} + k\,\pi",,
2.0,\textrm{wahr},"2\,x-1 = \arccos{\left(-1\right)} + k\,\pi","x = \frac{1}{2}\,(\arccos{\left(-1\right)} + k\,\pi)",,
2.0,\textrm{wahr},"2\,x-1 = \arccos{\left(-1\right)} + k \cdot 2\,\pi","x = \frac{1}{2}\,(\arccos{\left(-1\right)} + k \cdot 2\,\pi)",,
2.0,\textrm{wahr},"\sin{\left(2\,x-3\right)} = -1","2\,x-3 = \frac{3\,\pi}{2}",,
2.0,\textrm{wahr},"2\,x-3 = \frac{3\,\pi}{2}","2\,x-3 = \frac{3\,\pi}{2} + 2\,k\,\pi",,
2.0,\left( y < 2.2290726829685386\right) \wedge \left( y > -1.7709273170314612\right),"\left( e^{-2\,y} = 0\right) \vee \left( 5-2\,e^{4\,y} = 0\right)","\left( e^{-2\,y} = \emptyset \right) \vee \left( y = \frac{1}{4}\,\ln{\left(\frac{5}{2}\right)}\right)",,
2.0,\left( y < 2.2290726829685386\right) \wedge \left( y > -1.7709273170314612\right),"\left( e^{-2\,y} = \emptyset \right) \vee \left( y = \frac{1}{4}\,\ln{\left(\frac{5}{2}\right)}\right)","y = \frac{1}{4}\,\ln{\left(\frac{5}{2}\right)}",,
2.0,\left( y < 2.2290726829685386\right) \wedge \left( y > -1.7709273170314612\right),"\left( e^{-2\,y} = 0\right) \vee \left( 5-2\,e^{4\,y} = 0\right)","y = \frac{1}{4}\,\ln{\left(\frac{5}{2}\right)}",,
2.0,\textrm{wahr},"\sin{\left(2\,x-3\right)} = -1","2\,x-3 = \arcsin{\left(-1\right)}",,
2.0,\textrm{wahr},"2\,x-3 = \arcsin{\left(-1\right)}","2\,x-3 = \frac{3\,\pi}{2} + 2\,k\,\pi",,
2.0,\left( y < 1.816741853625169\right) \wedge \left( y > -2.183258146374831\right),"5\,e^{3\,y}-2\,e^{-2\,y} = 0","-10\,e^{y} = 0",,
2.0,\textrm{wahr},"-4\,b^{2} + 16\,b-3\,b + 12 = 0","-4\,b^{2} + 13\,b + 12 = o",,
2.0,\textrm{wahr},"2\,x-3 = \arcsin{\left(-1\right)} + 2\,k\,\pi","2\,x = \arcsin{\left(-1\right)} + 3 \cdot 2\,k\,\pi",,
2.0,\textrm{wahr},"2\,x = \arcsin{\left(-1\right)} + 3 \cdot 2\,k\,\pi","x = \frac{\arcsin{\left(-1\right)} + 3}{2} + \frac{3}{2} + 2\,k\,\pi",,
2.0,\textrm{wahr},"2\,x = \arcsin{\left(-1\right)} + 3 + 2\,k\,\pi","x = \frac{\arcsin{\left(-1\right)} + 3}{2} + \frac{3}{2} + 2\,k\,\pi",,
2.0,\textrm{wahr},"2\,x = \arcsin{\left(-1\right)} + 3 + 2\,k\,\pi","x = \frac{\arcsin{\left(-1\right)} + 3}{2} + \frac{3}{2} + \frac{2\,k\,\pi}{2}",,
2.0,\textrm{wahr},"-4\,b^{2} + 16\,b-3\,b + 12 = 0","-4\,b + 13\,b + 12 = o",,
2.0,\left( y < 1.816741853625169\right) \wedge \left( y > -2.183258146374831\right),"5\,e^{3\,y}-2\,e^{-2\,y} = 0","3\,e^{y} = 0",,
2.0,\textrm{wahr},"e^{\frac{3}{4}\,x} = \frac{8}{4}","\ln{\left(\frac{3}{4}\,x\right)} = \ln{\left(2\right)}",,
2.0,\textrm{wahr},"\ln{\left(\frac{3}{4}\,x\right)} = \ln{\left(2\right)}",x = \frac{\ln{\left(2\right)}}{\ln{\left(\frac{3}{4}\right)}},,
2.0,\textrm{wahr},"e^{\frac{3}{4}\,x} = \frac{8}{4}","\ln{\left(\frac{3}{4}\,x\right)} = \ln{\left(\frac{8}{4}\right)}",,
2.0,\textrm{wahr},"\ln{\left(\frac{3}{4}\,x\right)} = \ln{\left(\frac{8}{4}\right)}",x = \frac{\ln{\left(\frac{8}{4}\right)}}{\ln{\left(\frac{3}{4}\right)}},,
2.0,\textrm{wahr},"\cos{\left(4\,x + 3\right)} = 0","\left( 4\,x + 3 = \frac{\pi}{2}\right) \wedge \left( 4\,x + 3 = \frac{3\,\pi}{2}\right)",,
2.0,\textrm{wahr},"\cos{\left(4\,x + 3\right)} = 0","\left( 4\,x + 3 = \frac{\pi}{2}\right) \vee \left( 4\,x + 3 = \frac{3\,\pi}{2}\right)",,
2.0,\left( w < 1.8176784432060453\right) \wedge \left( w > -2.1823215567939545\right),"5\,e^{-3\,w}-6\,e^{-2\,w} = 0","5\,e^{-15\,w} = 6\,e^{-2\,w}",,
2.0,\left( w < 1.8176784432060453\right) \wedge \left( w > -2.1823215567939545\right),"e^{-3\,w} = \frac{6\,e^{-2\,w}}{5}","e^{-15\,w} = \frac{6}{5}\,e^{-2\,w}",,
2.0,A\neq 0,"2 = A\,e^{\lambda \cdot 5}",A = \frac{2}{e^{\lambda \cdot 5}},,
2.0,A\neq 0,"4 = A\,e^{\lambda \cdot 2}","A = \frac{4}{e^{2\,\frac{\ln{\left(\frac{1}{2}\right)}}{4}}}",,
2.0,A\neq 0,A = \frac{2}{e^{\lambda \cdot 5}},"5 = \frac{2}{e^{\lambda \cdot 5}}\,e^{\lambda \cdot 3}",,
2.0,A\neq 0,"y = A\,e^{\lambda\,t}","5 = A\,e^{\lambda \cdot 3} \cdot .",,
2.0,A\neq 0,"\ln{\left(\frac{5}{2}\right)} = -2\,\lambda",\lambda = \frac{\ln{\left(\frac{5}{2}\right)}}{-2} = -0.458,,
2.0,\textrm{wahr},"\sin{\left(4\,x + 3\right)} = -1","4\,x + 3 = \arcsin{\left(-1\right)} + k\,\pi",,
2.0,\textrm{wahr},"4\,x = -3\,\arcsin{\left(-1\right)} + k\,\pi","x = -\frac{\frac{3}{4}\,\arcsin{\left(-1\right)}}{4} + \frac{k\,\pi}{4}",,
2.0,\textrm{wahr},"4\,x = -3 + \arcsin{\left(-1\right)} + k\,\pi","x = -\frac{\frac{3}{4}\,\arcsin{\left(-1\right)}}{4} + \frac{k\,\pi}{4}",,
2.0,\textrm{wahr},"\sin{\left(4\,x + 3\right)} = -1","4\,x + 3 = -\frac{\pi}{2} + k\,\pi",,
2.0,\textrm{wahr},"4\,x = -3-\frac{\pi}{2} + k\,\pi","x = -\frac{3}{4}-\frac{\pi}{8} + k\,\pi",,
2.0,\textrm{wahr},"\cos{\left(4\,x-3\right)} = -1","4\,x-3 = \pi + k\,\pi",,
2.0,\textrm{wahr},"\sin{\left(2\,x + 4\right)} = -1","2\,x + 4 = -\frac{\pi}{2} + k\,\pi",,
2.0,\textrm{wahr},"\sin{\left(2\,x + 4\right)} = -1","2\,x + 4 = -\frac{\pi}{2}-k\,\pi",,
2.0,\textrm{wahr},"\sin{\left(2\,x + 4\right)} = -1","2\,x + 4 = \frac{\pi}{2}-k\,\pi",,
2.0,\textrm{wahr},"\sin{\left(3\,x + 3\right)} = 1","3\,x + 3 = \frac{\pi}{2} + k\,\pi",,
2.0,\textrm{wahr},"3\,x = -3 + \frac{\pi}{2} + k\,\pi","x = -1 + \frac{\pi}{6} + k\,\pi",,
2.0,\left( A > 0\right) \wedge \left( x_0 < x_1\right),"y = \sin{\left(\omega\,x\right)}","\arcsin{\left(y\right)} = \omega\,x",,
2.0,\left( y < 1.7123179275482192\right) \wedge \left( y > -2.287682072451781\right),"3\,e^{4\,y} = 4\,e^{5\,y}","e^{9\,y} = \frac{3}{4}",,
2.0,\textrm{wahr},"4\,x \cdot 4 = \arctan{\left(-\frac{1}{4}\right)}","4\,x-4 = -\arctan{\left(-\frac{1}{4}\right)}",,
2.0,\textrm{wahr},"\tan{\left(4\,x-4\right)} = -\frac{1}{4}","4\,x \cdot 4 = \arctan{\left(-\frac{1}{4}\right)}",,
2.0,\left( z < 2.0911607783969774\right) \wedge \left( z > -1.9088392216030228\right),"5\,e^{4\,z}-6\,e^{2\,z} = 0","\left( e^{2\,z}\neq 0\right) \vee \left( 6\,e^{2\,z}-6 = 0\right)",,
2.0,\left( z < 2.0911607783969774\right) \wedge \left( z > -1.9088392216030228\right),"5\,e^{4\,z}-6\,e^{2\,z} = 0","\left( e^{2\,z}\neq 0\right) \wedge \left( 5\,e^{2\,z}-6 = 0\right)",,
2.0,A\neq 0,"4 = A\,e^{\lambda \cdot 2}","A = \frac{5}{e^{4\,\frac{\ln{\left(5\right)}}{3}}}",,
2.0,A\neq 0,"1 = A\,e^{\lambda \cdot 7}","A = \frac{5}{e^{4\,\frac{\ln{\left(5\right)}}{3}}}",,
2.0,A\neq 0,"1 = A\,e^{\lambda \cdot 7}","A = \frac{5}{e^{4\,\frac{\ln{\left(1\right)}}{3}}}",,
1.0,\left( \left( A = \left( \begin{array}{cc}2& 1\\5& -3\end{array} \right)\right) \wedge \left( B = \left( \begin{array}{cc}0& 4\\0& 3\end{array} \right)\right)\right) \wedge \left( C = \left( \begin{array}{cc}3& 3\\4& 2\end{array} \right)\right),"A^{-T}\,B + 3\,C^{T}","\left( \begin{array}{cc}-3& -5\\-1& 2\end{array} \right)\,\left( \begin{array}{cc}0& 4\\0& 3\end{array} \right) + 3\,\left( \begin{array}{cc}3& 4\\3& 2\end{array} \right)",,
2.0,c < \frac{3}{4},"3-4\,c = e^{\frac{8}{5}}","4\,c = e^{\frac{8}{5}}-3",,
2.0,\textrm{wahr},"\left( 2\,d-5 = 4\right) \vee \left( 2\,d + 3 = 2\right)","2\,d = -1 = 2\,d = -1",,
2.0,\textrm{wahr},"2\,d = -1 = 2\,d = -1",\left( d = -\frac{1}{2}\right) \vee \left( d = \frac{5}{2}\right),,
2.0,\textrm{wahr},"\left( 2\,d-5 = 4\right) \vee \left( 2\,d + 3 = 2\right)","2\,d = -1",,
2.0,\textrm{wahr},\left( d = -\frac{1}{2}\right) \vee \left( d = \frac{5}{2}\right),\left( \mathbb{L} = -\frac{1}{2}\right) \vee \left( \mathbb{L} = \frac{5}{z}\right),,
2.0,\textrm{wahr},"\left( 2\,d = 9\right) \vee \left( 2\,d = -1\right)",\left( d = -\frac{1}{2}\right) \vee \left( d = \frac{5}{2}\right),,
2.0,\textrm{wahr},\left( d = \frac{9}{2}\right) \vee \left( d = -\frac{1}{2}\right),\left( \mathbb{L} = \frac{9}{2}\right) \vee \left( \mathbb{L} = -\frac{1}{2}\right),,
2.0,\textrm{wahr},"\left( -5\,o-4 = -4\right) \vee \left( -4\,o-5 = 5\right)","\left( -5\,o = 0\right) \vee \left( -4\,o = 1\,o\right)",,
