,category,labels_dbscan,labels_kmeans,labels_agglo,processed_t0,processed_t1,t0,t1,assumptions
726,2,0,5,2,"-3\,y + 1 = 5\,y-2\,x","2\,y + 1 = -2\,x","-3\,s + 1 = 5\,s-2\,h","2\,s + 1 = -2\,h",\textrm{wahr}
727,2,0,1,1,"-4\,x = 6\,y + 4",0 = -1,"-4\,o = 6\,y + 4",0 = -1,\textrm{wahr}
728,2,0,1,1,"-4\,x-4\,y = 2\,y + 4",0 = -1,"-4\,o-4\,y = 2\,y + 4",0 = -1,\textrm{wahr}
729,2,0,5,2,"-5\,x-4 = 0",x = -1,"-5\,f-4 = 0",f = -1,\textrm{wahr}
730,2,0,5,2,-x-1 = 0,"-5\,x-4 = 0",-f-1 = 0,"-5\,f-4 = 0",\textrm{wahr}
731,2,-1,7,0,\left( x + \frac{7}{2}\right)^{2}-\frac{49}{4} + \frac{48}{4} = 0,\left( y + \frac{7}{2}\right)^{2}-\frac{1}{4} = x,\left( z + \frac{7}{2}\right)^{2}-\frac{49}{4} + \frac{48}{4} = 0,\left( z + \frac{7}{2}\right)^{2}-\frac{1}{4} = o,\textrm{wahr}
732,2,0,1,1,"4\,x = -6\,y-4","x = -\frac{2}{3}\,y-1","4\,o = -6\,y-4","o = -\frac{2}{3}\,y-1",\textrm{wahr}
733,2,0,7,0,\sqrt{\left( x + \frac{7}{2}\right)^{2}} = \sqrt{\frac{1}{4}},x + \frac{7}{2} = \frac{\sqrt{1}}{2},\sqrt{\left( z + \frac{7}{2}\right)^{2}} = \sqrt{\frac{1}{4}},z + \frac{7}{2} = \frac{\sqrt{1}}{2},\textrm{wahr}
734,2,0,7,0,\sqrt{\left( x + \frac{7}{2}\right)^{2}} = \sqrt{\frac{1}{4}},\left( x + \frac{7}{2} = \frac{\sqrt{1}}{2}\right) \vee \left( x + \frac{7}{2} = -\frac{\sqrt{1}}{2}\right),\sqrt{\left( z + \frac{7}{2}\right)^{2}} = \sqrt{\frac{1}{4}},\left( z + \frac{7}{2} = \frac{\sqrt{1}}{2}\right) \vee \left( z + \frac{7}{2} = -\frac{\sqrt{1}}{2}\right),\textrm{wahr}
735,2,0,1,1,"3\,x = -4\,y-2",x = -\frac{4}{3}-\frac{2}{3},"3\,n = -4\,o-2",n = -\frac{4}{3}-\frac{2}{3},\textrm{wahr}
736,2,0,5,2,"x + 5\,y = -5\,x + 2","5\,y = -4\,x + 2","o + 5\,w = -5\,o + 2","5\,w = -4\,o + 2",\textrm{wahr}
737,2,0,5,1,"3\,y-5\,x = -4\,y + 2","5\,x = -7\,y-2","3\,s-5\,h = -4\,s + 2","5\,h = -7\,s-2",\textrm{wahr}
738,2,0,5,2,"3\,y-5\,x = -4\,y + 2","5\,x = 1\,y-2","3\,s-5\,h = -4\,s + 2","5\,h = 1\,s-2",\textrm{wahr}
739,2,0,2,6,"-3\,x + 12 = -3\,(x-4)","-3\,x + 12 = -3 + 12","-3\,x + 12 = -3\,(x-4)","-3\,x + 12 = -3 + 12",x\neq 4
740,2,0,5,2,"3\,y-5\,x = -4\,y + 2","5\,x = 4\,y-3\,y-2","3\,s-5\,h = -4\,s + 2","5\,h = 4\,s-3\,s-2",\textrm{wahr}
741,2,0,5,2,"5\,x = 1\,y-2","x = \frac{1}{5}\,x-\frac{2}{5}","5\,h = 1\,s-2","h = \frac{1}{5}\,h-\frac{2}{5}",\textrm{wahr}
742,2,0,5,1,"5\,x = 7\,y-2","x = \frac{7}{5}\,x-\frac{2}{5}","5\,h = 7\,s-2","h = \frac{7}{5}\,h-\frac{2}{5}",\textrm{wahr}
743,2,0,1,1,"-3\,y = 3\,y + 1","y = -1\,y-3","-3\,x = 3\,s + 1","x = -1\,s-3",\textrm{wahr}
744,2,0,1,1,"6\,y = -4\,x-3","y = -\frac{2}{3}\,x-\frac{1}{5}","6\,h = -4\,c-3","h = -\frac{2}{3}\,c-\frac{1}{5}",\textrm{wahr}
745,2,0,2,7,"\frac{-(x + 3)}{(x-2)\,(x + 3)} + \frac{2\,(x-2)}{(x-2)\,(x + 3)} = 0","-\frac{-x-3}{(x-2)\,(x + 3)} + \frac{2\,x-4}{(x-2)\,(x + 3)} = 0","\frac{-(x + 3)}{(x-2)\,(x + 3)} + \frac{2\,(x-2)}{(x-2)\,(x + 3)} = 0","-\frac{-x-3}{(x-2)\,(x + 3)} + \frac{2\,x-4}{(x-2)\,(x + 3)} = 0",\left( x\neq 2\right) \wedge \left( x\neq -3\right)
746,2,0,2,7,"-\frac{-x-3}{(x-2)\,(x + 3)} + \frac{2\,x-4}{(x-2)\,(x + 3)} = 0","-\frac{x-7}{(x-2)\,(x + 3)} = 0","-\frac{-x-3}{(x-2)\,(x + 3)} + \frac{2\,x-4}{(x-2)\,(x + 3)} = 0","-\frac{x-7}{(x-2)\,(x + 3)} = 0",\left( x\neq 2\right) \wedge \left( x\neq -3\right)
747,2,-1,0,3,"-3\,y-3\le -5\,y + x","-8\,y\le +4\,x","-3\,l-3\le -5\,l + d","-8\,l\le +4\,d",\textrm{wahr}
748,2,-1,0,3,y\le \frac{+3 + x}{2},\mathbb{X} = \left\{\frac{+3 + x}{2}\right\},l\le \frac{+3 + d}{2},\mathbb{L} = \left\{\frac{+3 + d}{2}\right\},\textrm{wahr}
749,2,-1,0,3,y\le \frac{+3 + x}{2},"\mathbb{X} = \left(-\infty ,\frac{+3 + x}{2}\right]",l\le \frac{+3 + d}{2},"\mathbb{L} = \left(-\infty ,\frac{+3 + d}{2}\right]",\textrm{wahr}
750,2,14,7,0,"x^{2}-\frac{17\,x}{3} + \frac{10}{3} = 0",t_1 = \frac{17 \cdot 2}{3} + \sqrt{\left( \frac{17 \cdot 2}{3}\right)^{2}-\frac{10}{3}},"t^{2}-\frac{17\,t}{3} + \frac{10}{3} = 0",t_1 = \frac{17 \cdot 2}{3} + \sqrt{\left( \frac{17 \cdot 2}{3}\right)^{2}-\frac{10}{3}},\textrm{wahr}
751,2,14,7,0,t_1 = \frac{17 \cdot 2}{3} + \sqrt{\left( \frac{17 \cdot 2}{3}\right)^{2}-\frac{10}{3}},t_2 = \frac{17 \cdot 2}{3}-\sqrt{\left( \frac{17 \cdot 2}{3}\right)^{2}-\frac{10}{3}},t_1 = \frac{17 \cdot 2}{3} + \sqrt{\left( \frac{17 \cdot 2}{3}\right)^{2}-\frac{10}{3}},t_2 = \frac{17 \cdot 2}{3}-\sqrt{\left( \frac{17 \cdot 2}{3}\right)^{2}-\frac{10}{3}},\textrm{wahr}
752,2,14,7,0,t_2 = \frac{17 \cdot 2}{3}-\sqrt{\left( \frac{17 \cdot 2}{3}\right)^{2}-\frac{10}{3}},t_1 = 22.5,t_2 = \frac{17 \cdot 2}{3}-\sqrt{\left( \frac{17 \cdot 2}{3}\right)^{2}-\frac{10}{3}},t_1 = 22.5,\textrm{wahr}
753,2,-1,4,0,t_1 = 22.5,t_2 = 0.15,t_1 = 22.5,t_2 = 0.15,\textrm{wahr}
754,2,-1,7,0,"x^{2}-\frac{17\,x}{3} + \frac{10}{3} = 0",t_1 = \frac{17 \cdot 2}{3} + \sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},"t^{2}-\frac{17\,t}{3} + \frac{10}{3} = 0",t_1 = \frac{17 \cdot 2}{3} + \sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},\textrm{wahr}
755,2,14,7,0,t_1 = \frac{17 \cdot 2}{3} + \sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},t_2 = \frac{17 \cdot 2}{3}-\sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},t_1 = \frac{17 \cdot 2}{3} + \sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},t_2 = \frac{17 \cdot 2}{3}-\sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},\textrm{wahr}
756,2,14,7,0,t_2 = \frac{17 \cdot 2}{3}-\sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},t_1 = 22.5,t_2 = \frac{17 \cdot 2}{3}-\sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},t_1 = 22.5,\textrm{wahr}
757,2,-1,4,0,"x^{2}-\frac{17\,x}{3} + \frac{10}{3} = 0","z^{2}-z\,z + y = 0","t^{2}-\frac{17\,t}{3} + \frac{10}{3} = 0","x^{2}-p\,x + q = 0",\textrm{wahr}
758,2,-1,3,0,"z^{2}-z\,z + y = 0",t_1 = \frac{17 \cdot 2}{3} + \sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},"x^{2}-p\,x + q = 0",t_1 = \frac{17 \cdot 2}{3} + \sqrt{\frac{17 \cdot 2}{3}-\frac{10}{3}},\textrm{wahr}
759,2,0,5,2,"-x + 3 = 4\,x-5\,y","3\,x + 3 = -5\,y","-a + 3 = 4\,a-5\,o","3\,a + 3 = -5\,o",\textrm{wahr}
760,2,0,5,2,"3\,x + 3 = -5\,y","\frac{3\,x}{5}-\frac{3}{5} = y","3\,a + 3 = -5\,o","\frac{3\,a}{5}-\frac{3}{5} = o",\textrm{wahr}
761,2,-1,7,0,"x^{2}-6\,x + 9 = 3-x",\left( x = 3-\sqrt{3-x}\right) \vee \left( x = 3 + \sqrt{3-x}\right),"b^{2}-6\,b + 9 = 3-b",\left( b = 3-\sqrt{3-b}\right) \vee \left( b = 3 + \sqrt{3-b}\right),\textrm{wahr}
762,2,-1,4,0,"x^{2}-3\,x + \left( \frac{3}{2}\right)^{2}-\left( \frac{3}{2}\right)^{2}-4 = 0",\left( x-1.5\right)^{2}-1.5-4 = 0,"z^{2}-3\,z + \left( \frac{3}{2}\right)^{2}-\left( \frac{3}{2}\right)^{2}-4 = 0",\left( z-1.5\right)^{2}-1.5-4 = 0,\textrm{wahr}
763,2,0,7,0,\left( x-3\right)^{2} = 3-x,\left( x = 3-\sqrt{3-x}\right) \vee \left( x = 3 + \sqrt{3-x}\right),\left( b-3\right)^{2} = 3-b,\left( b = 3-\sqrt{3-b}\right) \vee \left( b = 3 + \sqrt{3-b}\right),\textrm{wahr}
764,2,-1,4,0,"x^{2}-3\,x + \left( \frac{3}{2}\right)^{2}-\left( \frac{3}{2}\right)^{2}-4 = 0",\left( x-2.25\right)^{2}-2.25-4 = 0,"z^{2}-3\,z + \left( \frac{3}{2}\right)^{2}-\left( \frac{3}{2}\right)^{2}-4 = 0",\left( z-2.25\right)^{2}-2.25-4 = 0,\textrm{wahr}
765,2,-1,7,0,\left( x-2.25\right)^{2} = 6.25,\left( x-1.5 = \sqrt{6.25}\right) \vee \left( x-1.5 = -\sqrt{6.25}\right),\left( z-2.25\right)^{2} = 6.25,\left( z-1.5 = \sqrt{6.25}\right) \vee \left( z-1.5 = -\sqrt{6.25}\right),\textrm{wahr}
766,2,0,7,0,\left( x-3\right)^{2} = 3-x,x-3 = -\sqrt{3-x} \vee \sqrt{3-x},\left( b-3\right)^{2} = 3-b,b-3 = -\sqrt{3-b} \vee \sqrt{3-b},\textrm{wahr}
767,2,-1,7,0,\left( x + 3.5\right)^{2}-0.25 = 0,\left( x + 3.5 = \sqrt{0.25}\right) \vee \left( x + 3.5 = -\sqrt{0.25}\right),\left( y + 3.5\right)^{2}-0.25 = 0,\left( y + 3.5 = \sqrt{0.25}\right) \vee \left( y + 3.5 = -\sqrt{0.25}\right),\textrm{wahr}
768,2,-1,1,1,y = \frac{0}{1 + y},\textrm{falsch},x = \frac{0}{1 + a},\textrm{falsch},\textrm{wahr}
769,2,15,1,1,"(1 + y)\,y = 0",y = \frac{0}{1 + y},"(1 + a)\,x = 0",x = \frac{0}{1 + a},\textrm{wahr}
770,2,-1,4,0,"x^{2} + 9\,x + \frac{81}{4} = \frac{1}{4}",\left( x + 9\right)^{2} = \frac{1}{4},"a^{2} + 9\,a + \frac{81}{4} = \frac{1}{4}",\left( a + 9\right)^{2} = \frac{1}{4},\textrm{wahr}
771,2,4,1,1,0 = 0,\textrm{falsch},0 = 0,\textrm{falsch},\textrm{wahr}
772,2,0,1,1,"y\,(1 + 2\,y) = -4","y = \frac{-4}{1 + 2\,y}","x\,(1 + 2\,a) = -4","x = \frac{-4}{1 + 2\,a}",\textrm{wahr}
773,2,4,1,1,x = \frac{-4}{0},\textrm{falsch},x = \frac{-4}{0},\textrm{falsch},a = -\frac{1}{2}
774,2,4,1,1,0 = 0,\textrm{falsch},0 = 0,\textrm{falsch},a = -1
775,2,27,1,1,0 = 0,x = \emptyset ,0 = 0,x = \emptyset ,a = -1
776,2,15,1,1,"(1 + y)\,y = 0 \cdot (1 + y)\,y = 0",\left( 0 = 0\right) \vee \left( y = \frac{0}{1 + y}\right),"(1 + a)\,x = 0 \cdot (1 + a)\,x = 0",\left( 0 = 0\right) \vee \left( x = \frac{0}{1 + a}\right),\textrm{wahr}
777,2,-1,1,1,\left( 0 = 0\right) \vee \left( y = \frac{0}{1 + y}\right),\textrm{falsch} \vee \textrm{wahr},\left( 0 = 0\right) \vee \left( x = \frac{0}{1 + a}\right),\textrm{falsch} \vee \textrm{wahr},\textrm{wahr}
778,2,0,5,0,"(-5\,x + 1)\,(-5\,x-2) = 0","25\,x^{2}-5\,x-1 = 0","(-5\,h + 1)\,(-5\,h-2) = 0","25\,h^{2}-5\,h-1 = 0",\textrm{wahr}
779,2,0,4,6,"12\,x^{2}-24\,x + 12 = 0","x^{2}-2\,x = 0","12\,c^{2}-24\,c + 12 = 0","c^{2}-2\,c = 0",\textrm{wahr}
780,2,15,1,1,"(1 + y)\,y = 0",x = \frac{0}{0},"(1 + a)\,x = 0",x = \frac{0}{0},a = -1
781,2,4,1,1,x = \frac{0}{0},\textrm{falsch},x = \frac{0}{0},\textrm{falsch},a = -1
782,2,15,1,1,"(1 + y)\,y = 0",y = \frac{0}{1 + y},"(1 + a)\,x = 0",x = \frac{0}{1 + a},a = -1
783,2,4,1,1,x = \frac{0}{1-1},\textrm{falsch},x = \frac{0}{1-1},\textrm{falsch},a = -1
784,2,-1,1,1,"(1 + y)\,y = 0",\textrm{falsch},"(1 + a)\,x = 0",\textrm{falsch},a = -1
785,2,27,1,1,0 = 0,x = \mathbb{X},0 = 0,x = \mathbb{R},a = -1
786,2,-1,1,1,0 = 0,"\textrm{falsch}\,z\,n\,y\,m\,x = -1",0 = 0,"\textrm{falsch}\,f\,u\,e\,r\,a = -1",a = -1
787,2,-1,4,0,"-20\,x^{2}-13\,x-2 = 0","x^{2}-\frac{13}{20}\,x-\frac{1}{10} = 0","-20\,v^{2}-13\,v-2 = 0","v^{2}-\frac{13}{20}\,v-\frac{1}{10} = 0",\textrm{wahr}
788,2,-1,4,0,"-20\,x^{2}-13\,x-2 = 0","x^{2} + \frac{13}{20}\,x-\frac{1}{10} = 0","-20\,v^{2}-13\,v-2 = 0","v^{2} + \frac{13}{20}\,v-\frac{1}{10} = 0",\textrm{wahr}
789,2,-1,1,1,0 = 0,LL_1 = \emptyset ,0 = 0,LL_1 = \emptyset ,a = -1
790,2,-1,1,1,y = \frac{0}{1 + y},LL_2 = \left\{\frac{0}{1 + x}\right\},x = \frac{0}{1 + a},LL_2 = \left\{\frac{0}{1 + a}\right\},a\neq -1
791,2,-1,7,0,"x^{2}-\frac{1}{4}\,x-\frac{3}{4} = 0",\left( x = \frac{\frac{1}{4}}{2} + \sqrt{\left( \frac{\frac{1}{4}}{2}\right)^{2} + \frac{3}{4}}\right) \vee \left( x = \frac{\frac{1}{4}}{2} + \sqrt{\left( \frac{\frac{1}{4}}{2}\right)^{2} + \frac{3}{4}}\right),"z^{2}-\frac{1}{4}\,z-\frac{3}{4} = 0",\left( z = \frac{\frac{1}{4}}{2} + \sqrt{\left( \frac{\frac{1}{4}}{2}\right)^{2} + \frac{3}{4}}\right) \vee \left( z = \frac{\frac{1}{4}}{2} + \sqrt{\left( \frac{\frac{1}{4}}{2}\right)^{2} + \frac{3}{4}}\right),\textrm{wahr}
792,2,0,4,2,"(5\,x-2)\,(-3\,x + 4) = 0","-15\,x^{2} + 14\,x-8 = 0","(5\,u-2)\,(-3\,u + 4) = 0","-15\,u^{2} + 14\,u-8 = 0",\textrm{wahr}
793,2,-1,7,0,x^{2}-\frac{14}{15} + \frac{8}{15} = 0,\left( x = \frac{\frac{14}{15}}{2} + \sqrt{\left( \frac{\frac{14}{15}}{2}\right)^{2}-\frac{8}{15}}\right) \vee \left( x = \frac{\frac{14}{15}}{2}-\sqrt{\left( \frac{\frac{14}{15}}{2}\right)^{2}-\frac{8}{15}}\right),u^{2}-\frac{14}{15} + \frac{8}{15} = 0,\left( u = \frac{\frac{14}{15}}{2} + \sqrt{\left( \frac{\frac{14}{15}}{2}\right)^{2}-\frac{8}{15}}\right) \vee \left( u = \frac{\frac{14}{15}}{2}-\sqrt{\left( \frac{\frac{14}{15}}{2}\right)^{2}-\frac{8}{15}}\right),\textrm{wahr}
794,2,0,5,0,"(x-4)\,(4\,x + 5) = 0","4\,x^{2}-3\,x-20 = 0","(h-4)\,(4\,h + 5) = 0","4\,h^{2}-3\,h-20 = 0",\textrm{wahr}
795,2,-1,7,0,"x^{2}-\frac{11}{6}\,x + \frac{2}{3} = 0",\left( x = \frac{\frac{11}{6}}{2} + \sqrt{\left( \frac{\frac{11}{6}}{2}\right)^{2}-\frac{2}{3}}\right) \vee \left( x = \frac{\frac{11}{6}}{2} + \sqrt{\left( \frac{\frac{11}{6}}{2}\right)^{2}-\frac{2}{3}}\right),"l^{2}-\frac{11}{6}\,l + \frac{2}{3} = 0",\left( l = \frac{\frac{11}{6}}{2} + \sqrt{\left( \frac{\frac{11}{6}}{2}\right)^{2}-\frac{2}{3}}\right) \vee \left( l = \frac{\frac{11}{6}}{2} + \sqrt{\left( \frac{\frac{11}{6}}{2}\right)^{2}-\frac{2}{3}}\right),\textrm{wahr}
796,2,0,5,2,"(4\,x-5)\,(2\,x + 3) = 0","6\,x^{2} + 2\,x-15 = 0","(4\,m-5)\,(2\,m + 3) = 0","6\,m^{2} + 2\,m-15 = 0",\textrm{wahr}
797,2,16,7,0,x^{2} + x-2 = 0,\left( x = \frac{1}{2} + \sqrt{\left( \frac{1}{2}\right)^{2} + 2}\right) \vee \left( x = \frac{1}{2}-\sqrt{\frac{1}{2} + 2}\right),x^{2} + x-2 = 0,\left( x = \frac{1}{2} + \sqrt{\left( \frac{1}{2}\right)^{2} + 2}\right) \vee \left( x = \frac{1}{2}-\sqrt{\frac{1}{2} + 2}\right),\textrm{wahr}
798,2,16,7,0,x^{2} + x-2 = 0,\left( x = \frac{1}{2} + \sqrt{\left( \frac{1}{2}\right)^{2} + 2}\right) \vee \left( x = \frac{1}{2}-\sqrt{\left( \frac{1}{2}\right)^{2} + 2}\right),x^{2} + x-2 = 0,\left( x = \frac{1}{2} + \sqrt{\left( \frac{1}{2}\right)^{2} + 2}\right) \vee \left( x = \frac{1}{2}-\sqrt{\left( \frac{1}{2}\right)^{2} + 2}\right),\textrm{wahr}
799,2,16,7,0,x^{2} + x-2 = 0,\left( x = \frac{0}{2} + \sqrt{\left( \frac{0}{2}\right)^{2} + 2}\right) \vee \left( x = \frac{0}{2}-\sqrt{\left( \frac{0}{2}\right)^{2} + 2}\right),x^{2} + x-2 = 0,\left( x = \frac{0}{2} + \sqrt{\left( \frac{0}{2}\right)^{2} + 2}\right) \vee \left( x = \frac{0}{2}-\sqrt{\left( \frac{0}{2}\right)^{2} + 2}\right),\textrm{wahr}
800,2,0,4,0,"20\,x^{2} + 16\,x-4 = 0",x^{2} + \frac{4}{5}-\frac{1}{5} = 0,"20\,h^{2} + 16\,h-4 = 0",h^{2} + \frac{4}{5}-\frac{1}{5} = 0,\textrm{wahr}
801,2,11,7,0,x^{2} + \frac{4}{5}-\frac{1}{5} = 0,\left( x = -\frac{\frac{4}{5}}{2} + \sqrt{\left( \frac{\frac{4}{5}}{2}\right)^{2} + \frac{1}{5}}\right) \vee \left( x = -\frac{\frac{4}{5}}{2}-\sqrt{\left( \frac{\frac{4}{5}}{2}\right)^{2} + \frac{1}{5}}\right),h^{2} + \frac{4}{5}-\frac{1}{5} = 0,\left( h = -\frac{\frac{4}{5}}{2} + \sqrt{\left( \frac{\frac{4}{5}}{2}\right)^{2} + \frac{1}{5}}\right) \vee \left( h = -\frac{\frac{4}{5}}{2}-\sqrt{\left( \frac{\frac{4}{5}}{2}\right)^{2} + \frac{1}{5}}\right),\textrm{wahr}
802,2,-1,4,6,"2\,(x^{2} + 2\,x + 1) = 0","2\,(x^{2} + \left( \frac{2}{2}\right)^{2}-\left( \frac{2}{2}\right)^{2} + 1) = 0","2\,(h^{2} + 2\,h + 1) = 0","2\,(h^{2} + \left( \frac{2}{2}\right)^{2}-\left( \frac{2}{2}\right)^{2} + 1) = 0",\textrm{wahr}
803,2,17,7,0,"x^{2}-\frac{6}{9}\,x-\frac{3}{9} = 0",\left( x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}\right),"v^{2}-\frac{6}{9}\,v-\frac{3}{9} = 0",\left( x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}\right),\textrm{wahr}
804,2,0,2,6,"(3\,x + 1)\,(-3\,x + 3) = 0","-9\,x + 6\,x + 3 = 0","(3\,v + 1)\,(-3\,v + 3) = 0","-9\,v + 6\,v + 3 = 0",\textrm{wahr}
805,2,0,7,0,\left( x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}\right),\left( x_1 = \frac{1}{3}\right) \vee \left( x_2 = -1\right),\left( x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}\right),\left( x_1 = \frac{1}{3}\right) \vee \left( x_2 = -1\right),\textrm{wahr}
806,2,0,7,0,\left( x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}\right),"x_1 = \frac{1}{3}\,x_2 = -1",\left( x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}\right),"x_1 = \frac{1}{3}\,x_2 = -1",\textrm{wahr}
807,2,17,7,0,"x^{2}-\frac{6}{9}\,x-\frac{3}{9} = 0","x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\,x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}","v^{2}-\frac{6}{9}\,v-\frac{3}{9} = 0","x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\,x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}",\textrm{wahr}
808,2,0,7,0,"x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\,x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}","x_1 = \frac{1}{3}\,x_2 = -1","x = -\frac{1}{3} + \sqrt{\frac{1}{9} + \frac{3}{9}}\,x = -\frac{1}{3}-\sqrt{\frac{1}{9} + \frac{3}{9}}","x_1 = \frac{1}{3}\,x_2 = -1",\textrm{wahr}
809,2,17,7,0,"x^{2}-\frac{6}{9}\,x-\frac{3}{9} = 0",\left( x = -\frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right),"v^{2}-\frac{6}{9}\,v-\frac{3}{9} = 0",\left( x = -\frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right),\textrm{wahr}
810,2,0,7,0,\left( x = -\frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right),\left( x = \frac{1}{3}\right) \vee \left( x = -1\right),\left( x = -\frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right) \vee \left( x = -\frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right),\left( x = \frac{1}{3}\right) \vee \left( x = -1\right),\textrm{wahr}
811,2,17,7,0,"x^{2}-\frac{6}{9}\,x-\frac{3}{9} = 0",\left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right) \vee \left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right),"v^{2}-\frac{6}{9}\,v-\frac{3}{9} = 0",\left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right) \vee \left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right),\textrm{wahr}
812,2,0,7,0,\left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right) \vee \left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right),\left( x = \frac{1}{3}\right) \vee \left( x = -1\right),\left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right) \vee \left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2}} + \frac{3}{9}\right),\left( x = \frac{1}{3}\right) \vee \left( x = -1\right),\textrm{wahr}
813,2,17,7,0,"x^{2}-\frac{6}{9}\,x-\frac{3}{9} = 0",\left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right) \vee \left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right),"v^{2}-\frac{6}{9}\,v-\frac{3}{9} = 0",\left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right) \vee \left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right),\textrm{wahr}
814,2,0,7,0,\left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right) \vee \left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right),\left( x = \frac{1}{3}\right) \vee \left( x = -1\right),\left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right) \vee \left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right),\left( x = \frac{1}{3}\right) \vee \left( x = -1\right),\textrm{wahr}
815,2,17,7,0,"x^{2}-\frac{6}{9}\,x-\frac{3}{9} = 0",\left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right) \vee \left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right),"v^{2}-\frac{6}{9}\,v-\frac{3}{9} = 0",\left( x = \frac{1}{3}-\sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right) \vee \left( x = \frac{1}{3} + \sqrt{\left( -\frac{1}{3}\right)^{2} + \frac{3}{9}}\right),\textrm{wahr}
